Code,Short Name,Table Name,Long Name,Currency Unit
TUR,Turkey,Turkey,Republic of Turkey,New Turkish lira
TKM,Turkmenistan,Turkmenistan,Turkmenistan,New Turkmen manat
UGA,Uganda,Uganda,Republic of Uganda,Ugandan shilling
UKR,Ukraine,Ukraine,Ukraine,Ukrainian hryvnia
ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,U.A.E. dirham
GBR,United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland,Pound sterling
USA,United States,United States,United States of America,U.S. dollar
URY,Uruguay,Uruguay,Oriental Republic of Uruguay,Uruguayan peso
VEN,Venezuela,"Venezuela, RB",República Bolivariana de Venezuela,Venezuelan bolivar fuerte
VNM,Vietnam,Vietnam,Socialist Republic of Vietnam,Vietnamese dong
PSE,West Bank and Gaza,West Bank and Gaza,West Bank and Gaza,Israeli new shekel
YEM,Yemen,"Yemen, Rep.",Republic of Yemen,Yemeni rial
ZMB,Zambia,Zambia,Republic of Zambia,New Zambian kwacha
ZWE,Zimbabwe,Zimbabwe,Republic of Zimbabwe,U.S. dollar
